nama,hp,job,rekomendasi_ai,score,skill,exp,edu
fathan,,Finance Staff,Finance Staff,47.94,47.49,46.66,55.23
fathan,,Cashflow Management Staff,Finance Staff,43.89,41.51,43.84,55.94
fathan,,Business Development Staff,Finance Staff,41.84,40.24,39.49,59.26
fathan,,Marketing Region Analyst,Finance Staff,38.42,35.4,36.04,63.07
fathan,,Cashier TAC,Finance Staff,38.41,37.78,31.4,69.61
dfgh,2t6232,Equipment Maintenance Staff,Equipment Maintenance Staff,72.07,72.33,75.69,56.26
dfgh,2t6232,Accounting Staff,Equipment Maintenance Staff,64.66,66.7,68.36,39.58
dfgh,2t6232,Tax Staff,Equipment Maintenance Staff,61.6,58.64,69.3,45.62
dfgh,2t6232,Mechanical Electrical Engineer,Equipment Maintenance Staff,56.69,55.67,65.66,25.91
dfgh,2t6232,Non Aspal Procurement Staff,Equipment Maintenance Staff,56.21,56.72,63.56,24.31
